# t (s)	mx	my	mz	skyrmionx (m)	skyrmiony (m)	skyrmionz (m)	Q
2.699999999999995e-9	8.0312455873744e-5	-3.805769321137533e-5	0.9927254260884727	1.2025923185555421e-7	5.6268600579578546e-8	0.0	-0.9370126094329292
2.7199999999999947e-9	8.028976637384855e-5	-3.8183537528945166e-5	0.9927267313769809	1.1671013612162381e-7	5.668344490665594e-8	0.0	-0.9370063130471397
2.7399999999999947e-9	8.026295471188637e-5	-3.8333786683546634e-5	0.9927281010316087	1.131611473279217e-7	5.709821793790316e-8	0.0	-0.9369975474631821
2.7599999999999946e-9	8.023352654100104e-5	-3.8496129459991845e-5	0.9927294723248047	1.0961234654133348e-7	5.751290761742846e-8	0.0	-0.93698878454854
2.7799999999999945e-9	8.02072631799171e-5	-3.8646977615082815e-5	0.9927308233077448	1.0606369725212403e-7	5.792752305993909e-8	0.0	-0.9369798686738449
2.7999999999999945e-9	8.018490705152539e-5	-3.8789445054235386e-5	0.992732205634291	1.025151541810848e-7	5.834208043392397e-8	0.0	-0.9369701212048138
2.8199999999999944e-9	8.0159188187379e-5	-3.895016531738586e-5	0.9927336695317138	9.896674732949581e-8	5.875657720890949e-8	0.0	-0.9369597362407026
2.8399999999999943e-9	8.012569689794548e-5	-3.913792654566845e-5	0.9927351913681162	9.5418546718128e-8	5.91709912300157e-8	0.0	-0.9369494745647432
2.8599999999999943e-9	8.009131141997221e-5	-3.9329525368498226e-5	0.9927367099637645	9.187056692838773e-8	5.958530903419622e-8	0.0	-0.9369394941690061
2.879999999999994e-9	8.006440592979569e-5	-3.95065167763448e-5	0.9927382175464892	8.832275315156463e-8	5.999954396205559e-8	0.0	-0.9369291857052578
2.899999999999994e-9	8.004067677091708e-5	-3.9685294535309286e-5	0.9927397715530335	8.477506872465742e-8	6.041371528392924e-8	0.0	-0.9369181456165768
2.919999999999994e-9	8.000847094596091e-5	-3.989218090510447e-5	0.9927414108498278	8.122755556432074e-8	6.082781593161269e-8	0.0	-0.9369067130142781
2.939999999999994e-9	7.996749781230855e-5	-4.012245710413542e-5	0.9927430999643424	7.768027965777614e-8	6.124181762825856e-8	0.0	-0.9368953618073448
2.959999999999994e-9	7.993068904865695e-5	-4.034853726318595e-5	0.9927447828054479	7.41332418700018e-8	6.16557094358974e-8	0.0	-0.9368840129113974
2.979999999999994e-9	7.990399760783186e-5	-4.056418952122734e-5	0.9927464656234545	7.058638419126561e-8	6.206951273304513e-8	0.0	-0.9368722467606685
2.9999999999999938e-9	7.987584067508098e-5	-4.079474844108133e-5	0.9927482073506577	6.703968150913233e-8	6.24832471188887e-8	0.0	-0.9368599288020748
